NO.1 M/E CYL.O STOR.TK(S);84.2;49;52
15.160;0.0;81.150;-24.212;15.161
15.360;2.4;81.150;-24.212;15.260
15.560;4.9;81.150;-24.212;15.360
15.760;7.3;81.150;-24.212;15.460
15.960;9.7;81.150;-24.212;15.560
16.160;12.2;81.150;-24.212;15.660
16.360;14.6;81.150;-24.212;15.760
16.560;17.0;81.150;-24.212;15.860
16.760;19.5;81.150;-24.212;15.960
16.960;21.9;81.150;-24.212;16.060
17.160;24.3;81.150;-24.212;16.160
17.360;26.8;81.150;-24.212;16.260
17.560;29.2;81.150;-24.212;16.360
17.760;31.6;81.150;-24.212;16.460
17.960;34.1;81.150;-24.212;16.560
18.160;36.5;81.150;-24.212;16.660
18.360;39.0;81.150;-24.212;16.760
18.560;41.4;81.150;-24.212;16.860
18.760;43.8;81.150;-24.212;16.960
18.960;46.2;81.150;-24.212;17.060
19.160;48.7;81.150;-24.212;17.160
19.360;51.1;81.150;-24.212;17.260
19.560;53.6;81.150;-24.212;17.360
19.760;56.0;81.150;-24.212;17.460
19.960;58.4;81.150;-24.212;17.560
20.160;60.9;81.150;-24.212;17.660
20.360;63.3;81.150;-24.212;17.760
20.560;65.7;81.150;-24.212;17.860
20.760;68.2;81.150;-24.212;17.960
20.960;70.6;81.150;-24.212;18.060
21.160;73.0;81.150;-24.212;18.160
21.360;74.5;81.150;-24.229;18.223
21.560;75.8;81.150;-24.249;18.275
21.760;77.0;81.150;-24.269;18.328
21.960;78.2;81.150;-24.288;18.384
22.160;79.4;81.150;-24.307;18.440
22.360;80.6;81.150;-24.325;18.498
22.560;81.9;81.150;-24.343;18.557
22.760;83.1;81.150;-24.360;18.617
22.936;84.2;81.150;-24.374;18.671
